"id","ident","type","name","continent","iso_country","iso_region","municipality","iata_code"
"26555","VIDP","large_airport","Indira Gandhi International Airport","AS","IN","IN-DL","New Delhi","DEL"
"26557","VIGG","medium_airport","Kangra Airport","AS","IN","IN-HP","Gaggal","DHM"
"26558","VIGR","medium_airport","Gwalior Airport","AS","IN","IN-MP","Gwalior","GWL"
"26562","VIJO","medium_airport","Jodhpur Airport","AS","IN","IN-RJ","Jodhpur","JDH"
"26563","VIJP","medium_airport","Jaipur International Airport","AS","IN","IN-RJ","Jaipur","JAI"
"26565","VIJU","medium_airport","Jammu Airport","AS","IN","IN-JK","Jammu","IXJ"
"327453","VIKG","medium_airport","Kishangarh Airport Ajmer","AS","IN","IN-RJ","Ajmer (Kishangarh)","KQH"
"26569","VILH","medium_airport","Leh Kushok Bakula Rimpochee Airport","AS","IN","IN-LA","Leh","IXL"
"26570","VILK","medium_airport","Chaudhary Charan Singh International Airport","AS","IN","IN-UP","Lucknow","LKO"
"26571","VIPK","medium_airport","Pathankot Airport","AS","IN","IN-PB","Pathankot","IXP"
"26573","VIPT","medium_airport","Pantnagar Airport","AS","IN","IN-UP","Pantnagar","PGH"
"26578","VISR","medium_airport","Sheikh ul Alam International Airport","AS","IN","IN-JK","Srinagar","SXR"
"26579","VIST","small_airport","Satna Airport","AS","IN","IN-MP","-","TNI"
